official_title,audible_url,mapping_status,review_notes
The Ultimate David Hawkins Library,https://www.audible.com/pd/The-Ultimate-David-Hawkins-Library-Audiobook/B01ENWKFOQ,unreviewed_official_product,Official Audible link supplied by Nightingale-Conant
The Discovery,https://www.audible.com/pd/The-Discovery-Audiobook/B00NO7TMRI,unreviewed_official_product,Official Audible link supplied by Nightingale-Conant
Healing,https://www.audible.com/pd/Healing-Audiobook/B00NPBHS2Y,possible_related_match,Official Audible link supplied by Nightingale-Conant
The Highest Level of Enlightenment,https://www.audible.com/pd/The-Highest-Level-of-Enlightenment-Audiobook/B00O3I950G,matched_by_title,Official Audible link supplied by Nightingale-Conant
In The World But Not Of It,https://www.audible.com/pd/In-the-World-but-Not-of-It-Audiobook/B00NMUQ8DS,matched_by_title,Official Audible link supplied by Nightingale-Conant
Truth Vs Falsehood,https://www.audible.com/pd/Truths-vs-Falsehood-Audiobook/B00NWS4SQO,matched_by_title,Official Audible link supplied by Nightingale-Conant
Naked,https://www.audible.com/pd/Naked-Audiobook/B07DD2NH9L,unreviewed_official_product,Multi-contributor programme
Letting Go,https://www.audible.com/pd/Letting-Go-Audiobook/B00ZJFQN9I,matched_by_title,Extracted from Audible author catalogue; relationship requires review where noted.
Power vs. Force,https://www.audible.com/pd/Power-vs-Force-Audiobook/B002V5GOH0,matched_by_title,Extracted from Audible author catalogue; relationship requires review where noted.
OM,https://www.audible.com/pd/OM-Audiobook/B09YFZQ121,unreviewed_official_product,Extracted from Audible author catalogue; relationship requires review where noted.
Transcending the Mind Series: Identification & Illusion,https://www.audible.com/pd/Transcending-the-Mind-Series-Identification-Illusion-Audiobook/B008Y23T9U,possible_related_match,Extracted from Audible author catalogue; relationship requires review where noted.
Devotional Nonduality Intensive: Intention,https://www.audible.com/pd/Devotional-Nonduality-Intensive-Intention-Audiobook/B009LKPYRY,matched_by_title,Extracted from Audible author catalogue; relationship requires review where noted.
"Office Visit Set III: Worry, Fear & Anxiety, Pain & Suffering, and Losing Weight",https://www.audible.com/pd/Office-Visit-Set-III-Worry-Fear-Anxiety-Pain-Suffering-and-Losing-Weight-Audiobook/B00K5ZR9M2,possible_related_match,Extracted from Audible author catalogue; relationship requires review where noted.
The Way to God: The Nature of Divinity vs. Religious Fallacy,https://www.audible.com/pd/The-Way-to-God-The-Nature-of-Divinity-vs-Religious-Fallacy-Audiobook/B006ZBQNBS,matched_by_title,Extracted from Audible author catalogue; relationship requires review where noted.
Transcending the Mind Series: Emotions & Sensations,https://www.audible.com/pd/Transcending-the-Mind-Series-Emotions-Sensations-Audiobook/B008Y2962E,matched_by_title,Extracted from Audible author catalogue; relationship requires review where noted.
El nivel más alto de iluminación,https://www.audible.com/pd/El-nivel-mas-alto-de-iluminacion-Audiobook/B0D3FH2QLH,unreviewed_official_product,Extracted from Audible author catalogue; relationship requires review where noted.
The Way to God: Advaita - The Way to God Through Mind,https://www.audible.com/pd/The-Way-to-God-Advaita-The-Way-to-God-Through-Mind-Audiobook/B006ZBQF8Y,matched_by_title,Extracted from Audible author catalogue; relationship requires review where noted.
Spiritual Reality and Modern Man: God vs. Science: Limits of the Mind,https://www.audible.com/pd/Spiritual-Reality-and-Modern-Man-God-vs-Science-Limits-of-the-Mind-Audiobook/B00AYHUMMA,matched_by_title,Extracted from Audible author catalogue; relationship requires review where noted.
Compassion,https://www.audible.com/pd/Compassion-Audiobook/B09VYH9F59,matched_by_title,Extracted from Audible author catalogue; relationship requires review where noted.
Devotional Nonduality Intensive: Alignment,https://www.audible.com/pd/Devotional-Nonduality-Intensive-Alignment-Audiobook/B009LLI07Y,matched_by_title,Extracted from Audible author catalogue; relationship requires review where noted.
Transcending the Levels of Consciousness Series: Perception vs. Essence,https://www.audible.com/pd/Transcending-the-Levels-of-Consciousness-Series-Perception-vs-Essence-Audiobook/B00APLSQJG,matched_by_title,Extracted from Audible author catalogue; relationship requires review where noted.
Disolver el ego,https://www.audible.com/pd/Disolver-el-ego-Audiobook/8412363027,unreviewed_official_product,Extracted from Audible author catalogue; relationship requires review where noted.
The Way to God: Realizing the Root of Consciousness,https://www.audible.com/pd/The-Way-to-God-Realizing-the-Root-of-Consciousness-Meditative-Comtemplative-Techniques-Audiobook/B006W15XZI,matched_by_title,Extracted from Audible author catalogue; relationship requires review where noted.
Transcending the Levels of Consciousness,https://www.audible.com/pd/Transcending-the-Levels-of-Consciousness-Audiobook/1401961878,matched_by_title,Extracted from Audible search
Healing and Recovery,https://www.audible.com/pd/Healing-and-Recovery-Audiobook/1401962440,matched_by_title,Extracted from Audible search
The Eye of the I,https://www.audible.com/pd/The-Eye-of-the-I-Audiobook/1401962459,matched_by_title,Extracted from Audible search
