publisher,market,candidate_title,item_type,format,language,source_url,match_status,match_notes,review_notes
Ediciones El Grano de Mostaza,Spain,,,,,https://elgranodemostaza.com/autores/david-r-hawkins/,queue_created,Awaiting full catalogue extraction.,
Pandora Treinamentos / Pandora Editora,Brazil,,,,,https://loja.pandoratreinamentos.com.br/combo-fa-de-hawkins,queue_created,Awaiting full catalogue extraction.,
Guy Trédaniel Éditeur,France,,,,,https://www.editions-tredaniel.com/david-hawkins-auteur-806.html,queue_created,Awaiting full catalogue extraction.,
Sheema Medien Verlag,Germany,,,,,https://www.sheema.de/,queue_created,Awaiting full catalogue extraction.,
Gruppo Editoriale Macro,Italy,,,,,https://www.gruppomacro.com/,queue_created,Awaiting full catalogue extraction.,
Les Éditions Ariane,Canada (French),,,,,https://www.editionsariane.com/,queue_created,Awaiting full catalogue extraction.,
Yes Publishing,Germany,,,,,https://www.yes-publishing.de/,queue_created,Awaiting full catalogue extraction.,
Ediciones El Grano de Mostaza,Spain,La evolución de la conciencia,book,print/ebook,Spanish,https://elgranodemostaza.com/autores/david-r-hawkins/,unreviewed,Extracted from publisher author page.,
Ediciones El Grano de Mostaza,Spain,Cómo trascender el ego,book,print/ebook,Spanish,https://elgranodemostaza.com/autores/david-r-hawkins/,unreviewed,Extracted from publisher author page.,
Ediciones El Grano de Mostaza,Spain,El diario guiado de dejar ir,book,print/ebook,Spanish,https://elgranodemostaza.com/autores/david-r-hawkins/,unreviewed,Extracted from publisher author page.,
Ediciones El Grano de Mostaza,Spain,El nivel más alto de iluminación,book,print/ebook,Spanish,https://elgranodemostaza.com/autores/david-r-hawkins/,unreviewed,Extracted from publisher author page.,
Ediciones El Grano de Mostaza,Spain,"En el mundo, pero no del mundo",book,print/ebook,Spanish,https://elgranodemostaza.com/autores/david-r-hawkins/,unreviewed,Extracted from publisher author page.,
Ediciones El Grano de Mostaza,Spain,La explicación del mapa de la conciencia,book,print/ebook,Spanish,https://elgranodemostaza.com/autores/david-r-hawkins/,unreviewed,Extracted from publisher author page.,
Ediciones El Grano de Mostaza,Spain,La sabiduría del Dr. David R. Hawkins,book,print/ebook,Spanish,https://elgranodemostaza.com/autores/david-r-hawkins/,unreviewed,Extracted from publisher author page.,
Ediciones El Grano de Mostaza,Spain,Reflexiones diarias,book,print/ebook,Spanish,https://elgranodemostaza.com/autores/david-r-hawkins/,unreviewed,Extracted from publisher author page.,
Ediciones El Grano de Mostaza,Spain,"Realidad, espiritualidad y hombre moderno",book,print/ebook,Spanish,https://elgranodemostaza.com/autores/david-r-hawkins/,unreviewed,Extracted from publisher author page.,
Ediciones El Grano de Mostaza,Spain,Disolver el ego,book,print/ebook,Spanish,https://elgranodemostaza.com/autores/david-r-hawkins/,unreviewed,Extracted from publisher author page.,
Ediciones El Grano de Mostaza,Spain,El descubrimiento de la presencia de Dios,book,print/ebook,Spanish,https://elgranodemostaza.com/autores/david-r-hawkins/,unreviewed,Extracted from publisher author page.,
Ediciones El Grano de Mostaza,Spain,Verdad frente a falsedad,book,print/ebook,Spanish,https://elgranodemostaza.com/autores/david-r-hawkins/,unreviewed,Extracted from publisher author page.,
Ediciones El Grano de Mostaza,Spain,"Yo, Realidad y Subjetividad",book,print/ebook,Spanish,https://elgranodemostaza.com/autores/david-r-hawkins/,unreviewed,Extracted from publisher author page.,
Ediciones El Grano de Mostaza,Spain,El éxito es para ti,book,print/ebook,Spanish,https://elgranodemostaza.com/autores/david-r-hawkins/,unreviewed,Extracted from publisher author page.,
Ediciones El Grano de Mostaza,Spain,El Ojo del Yo,book,print/ebook,Spanish,https://elgranodemostaza.com/autores/david-r-hawkins/,unreviewed,Extracted from publisher author page.,
Ediciones El Grano de Mostaza,Spain,Trascender los niveles de conciencia,book,print/ebook,Spanish,https://elgranodemostaza.com/autores/david-r-hawkins/,unreviewed,Extracted from publisher author page.,
Ediciones El Grano de Mostaza,Spain,Curación y recuperación,book,print/ebook,Spanish,https://elgranodemostaza.com/autores/david-r-hawkins/,unreviewed,Extracted from publisher author page.,
Ediciones El Grano de Mostaza,Spain,El Poder frente a la fuerza,book,print/ebook,Spanish,https://elgranodemostaza.com/autores/david-r-hawkins/,unreviewed,Extracted from publisher author page.,
Ediciones El Grano de Mostaza,Spain,Dejar ir,book,print/ebook,Spanish,https://elgranodemostaza.com/autores/david-r-hawkins/,unreviewed,Extracted from publisher author page.,
Guy Trédaniel Éditeur,France,L'œil de je,book,print,French,https://www.editions-tredaniel.com/david-hawkins-auteur-806.html,unreviewed,Extracted from publisher author page.,
Guy Trédaniel Éditeur,France,La sagesse du Dr David Hawkins,book,print,French,https://www.editions-tredaniel.com/david-hawkins-auteur-806.html,unreviewed,Extracted from publisher author page.,
Guy Trédaniel Éditeur,France,Lâcher prise,book,print,French,https://www.editions-tredaniel.com/david-hawkins-auteur-806.html,unreviewed,Extracted from publisher author page.,
Guy Trédaniel Éditeur,France,Pouvoir contre force (Poche),book,print,French,https://www.editions-tredaniel.com/david-hawkins-auteur-806.html,unreviewed,Extracted from publisher author page.,
Guy Trédaniel Éditeur,France,Sur la voie de l'illumination,book,print,French,https://www.editions-tredaniel.com/david-hawkins-auteur-806.html,unreviewed,Extracted from publisher author page.,
Guy Trédaniel Éditeur,France,POUVOIR CONTRE FORCE,book,print,French,https://www.editions-tredaniel.com/david-hawkins-auteur-806.html,unreviewed,Extracted from publisher author page.,
Pandora Treinamentos / Pandora Editora,Brazil,Deixar Ir,book,print,Portuguese,https://loja.pandoratreinamentos.com.br/combo-fa-de-hawkins,unreviewed,Extracted from combo listing.,
Pandora Treinamentos / Pandora Editora,Brazil,Poder vs. Força,book,print,Portuguese,https://loja.pandoratreinamentos.com.br/combo-fa-de-hawkins,unreviewed,Extracted from combo listing.,
Pandora Treinamentos / Pandora Editora,Brazil,O Sucesso é Para Você,book,print,Portuguese,https://loja.pandoratreinamentos.com.br/combo-fa-de-hawkins,unreviewed,Extracted from combo listing.,
Pandora Treinamentos / Pandora Editora,Brazil,Cura e Recuperação,book,print,Portuguese,https://loja.pandoratreinamentos.com.br/combo-fa-de-hawkins,unreviewed,Extracted from combo listing.,
Audible,United States,Disolver el ego,book,digital,Spanish,https://www.audible.com/pd/Disolver-el-ego-Audiobook/8412363027,matched_by_title,Spanish audiobook edition of master 299 (Dissolving the Ego); deduplicated 2026-08-07.,Cross-listed: also tracked in Audible inventory as matched_by_title (platform inventory); retained in International queue for Spanish-market discoverability.
Audible,United States,El nivel más alto de iluminación,book,digital,Spanish,https://www.audible.com/pd/El-nivel-mas-alto-de-iluminacion-Audiobook/B0D3FH2QLH,matched_by_title,Spanish audiobook edition of master 301 (The Highest Level of Enlightenment); deduplicated 2026-08-07.,Cross-listed: also tracked in Audible inventory as matched_by_title (platform inventory); retained in International queue for Spanish-market discoverability.
