candidate_key,master_uuid,item_type,series,approval_status,approved_on,approval_reason
manual-veritas-53277,309,lecture,On The Road Talk Series,approved,2026-08-03,Owner approved promotion of source-verified official record with ownership intentionally unknown.
manual-veritas-54219,310,lecture,On The Road Talk Series,approved,2026-08-03,Official Veritas category confirms On the Road Talk Series; owner policy maps all such material to that series.
manual-veritas-55473,311,lecture,On The Road Talk Series,approved,2026-08-03,Owner approved promotion of source-verified official record with ownership intentionally unknown.
manual-veritas-50485,312,discussion,Media Miscellaneous,approved,2026-08-03,Owner approved promotion; official discussion/interview classified as discussion rather than deprecated video.
manual-veritas-50488,313,discussion,Media Miscellaneous,approved,2026-08-03,Owner approved promotion; official discussion/interview classified as discussion rather than deprecated video.
manual-veritas-38608,314,book,Books,approved,2026-08-03,Owner approved promotion of source-verified official book with ownership intentionally unknown.
manual-veritas-43146,315,book,Books,approved,2026-08-03,Owner approved promotion of source-verified official book with ownership intentionally unknown.
manual-veritas-47979,316,book,Books,approved,2026-08-03,Owner approved promotion of source-verified official book with ownership intentionally unknown.
manual-veritas-53036,317,book,Books,approved,2026-08-03,Owner approved promotion of source-verified official book with ownership intentionally unknown.
manual-veritas-53058,318,book,Books,approved,2026-08-03,Owner approved promotion of source-verified official book with ownership intentionally unknown.
manual-veritas-55425,319,book,Books,approved,2026-08-03,Owner approved promotion of source-verified official biography with ownership intentionally unknown.
