candidate_key,candidate_title,proposed_item_type,proposed_year,proposed_format,proposed_format_detail,proposed_owned,source_name,source_product_id,official_product_url,official_product_title,evidence_note,review_status,reviewed_on,promotion_status,promotion_notes
manual-veritas-1544,Giving Up Illness through A Course in Miracles© – Audio,audio,,CD,three CD; 3h45m,,veritas,1544,https://veritaspub.com/product/giving-up-illness-through-a-course-in-miracles/,Giving Up Illness through A Course in Miracles© – Audio,Official page identifies a three-CD 3h45m audio presentation.,reviewed_candidate,2026-08-03,not_promoted,Requires an explicit master-promotion decision and durable master ID.
manual-veritas-1546,Unity Church of Sedona 2005 March (CD),audio,2005,CD,one CD; 67 min,,veritas,1546,https://veritaspub.com/product/unity-church-of-sedona-march-6th-2005/,Unity Church of Sedona 2005 March (CD),Official page identifies a one-CD 67-minute March 2005 presentation.,reviewed_candidate,2026-08-03,not_promoted,Requires an explicit master-promotion decision and durable master ID.
manual-veritas-1548,Unity Church of Sedona 2006 June (CD),audio,2006,CD,one CD; 60 min,,veritas,1548,https://veritaspub.com/product/unity-church-of-sedona-june-2006-cd/,Unity Church of Sedona 2006 June (CD),Official page identifies a one-CD 60-minute June 2006 presentation.,reviewed_candidate,2026-08-03,not_promoted,Requires an explicit master-promotion decision and durable master ID.
manual-veritas-1792,Don’t Set Sail Without A Compass – Audio,audio,,CD,one CD; 67 min,,veritas,1792,https://veritaspub.com/product/dont-set-sail-without-a-compass/,Don’t Set Sail Without A Compass – Audio,Official page identifies a one-CD 67-minute audio product.,reviewed_candidate,2026-08-03,not_promoted,Requires an explicit master-promotion decision and durable master ID.
manual-veritas-1814,Peace is the Natural State,audio,,CD,On-the-Road audio,,veritas,1814,https://veritaspub.com/product/peace-is-the-natural-state/,Peace is the Natural State,Official page identifies an On-the-Road audio product.,reviewed_candidate,2026-08-03,not_promoted,Requires an explicit master-promotion decision and durable master ID.
manual-veritas-38608,Book of Slides (The Complete Collection),book,,book,large softcover; 655 pages,,veritas,38608,https://veritaspub.com/product/book-of-slides-the-complete-collection/,Book of Slides (The Complete Collection),Official page identifies a 655-page book compendium of lecture slides from 2002–2011.,reviewed_candidate,2026-08-03,not_promoted,Requires an explicit master-promotion decision and durable master ID.
manual-veritas-43146,The Power of Love: A Transformed Heart Changes the World,book,,book,softcover; 715 pages,,veritas,43146,https://veritaspub.com/product/the-power-of-love-a-transformed-heart-changes-the-world-sc/,The Power of Love: A Transformed Heart Changes the World (Book),"Official page identifies Fran Grace’s book dedicated to Hawkins and Susan, with interview material.",reviewed_candidate,2026-08-03,not_promoted,Requires an explicit master-promotion decision and durable master ID.
manual-veritas-47979,The Ego is Not the Real You,book,,book,paperback; 151 pages,,veritas,47979,https://veritaspub.com/product/the-ego-is-not-the-real-you/,The Ego is Not the Real You (Book),Official page identifies a paperback collection of selected Hawkins teachings and quotes.,reviewed_candidate,2026-08-03,not_promoted,Requires an explicit master-promotion decision and durable master ID.
manual-veritas-50485,Permanent Inner Peace (2012),video,2012,,streaming discussion/interview,,veritas,50485,https://veritaspub.com/product/permanent-inner-peace-2012/,Permanent Inner Peace (2012),Official page identifies a 2012 discussion/interview product.,reviewed_candidate,2026-08-03,not_promoted,Requires an explicit master-promotion decision and durable master ID.
manual-veritas-50488,What is Real Success? (2012),video,2012,,one disc; ~60 min; streaming,,veritas,50488,https://veritaspub.com/product/what-is-real-success/,What is Real Success? (2012),Official page identifies a 2012 one-disc discussion/interview of approximately 60 minutes.,reviewed_candidate,2026-08-03,not_promoted,Requires an explicit master-promotion decision and durable master ID.
