relationship_id,master_uuid,raw_row_number,source_name,source_product_id,official_product_url,official_product_title,relationship_type,review_status,reviewed_on,evidence_url,evidence_note
rel-veritas-50567-019fc4e7-d1e4-7a09-89ed-11981eea5a6f,019fc4e7-d1e4-7a09-89ed-11981eea5a6f,7,veritas,50567,https://veritaspub.com/product/2002-01-causality-the-egos-foundation-jan-2002/,Causality: The Ego’s Foundation (Jan 2002),primary_product_for_item_part,reviewed,2026-08-03,https://veritaspub.com/product/2002-01-causality-the-egos-foundation-jan-2002/,Master primary Veritas URL matches the official product inventory.
rel-veritas-50567-019fc4e7-d1e5-7d1d-9d3b-4372b5ef9549,019fc4e7-d1e5-7d1d-9d3b-4372b5ef9549,8,veritas,50567,https://veritaspub.com/product/2002-01-causality-the-egos-foundation-jan-2002/,Causality: The Ego’s Foundation (Jan 2002),primary_product_for_item_part,reviewed,2026-08-03,https://veritaspub.com/product/2002-01-causality-the-egos-foundation-jan-2002/,Master primary Veritas URL matches the official product inventory.
rel-veritas-50567-019fc4e7-d1e5-7893-b934-3457c2135e64,019fc4e7-d1e5-7893-b934-3457c2135e64,9,veritas,50567,https://veritaspub.com/product/2002-01-causality-the-egos-foundation-jan-2002/,Causality: The Ego’s Foundation (Jan 2002),primary_product_for_item_part,reviewed,2026-08-03,https://veritaspub.com/product/2002-01-causality-the-egos-foundation-jan-2002/,Master primary Veritas URL matches the official product inventory.
rel-veritas-52164-019fc4e7-d1e5-7bbd-bbff-a879a7026b61,019fc4e7-d1e5-7bbd-bbff-a879a7026b61,10,veritas,52164,https://veritaspub.com/product/radical-subjectivity-the-i-of-self-feb-2002/,Radical Subjectivity: The ‘I’ of Self (Feb 2002),primary_product_for_item_part,reviewed,2026-08-03,https://veritaspub.com/product/radical-subjectivity-the-i-of-self-feb-2002/,Master primary Veritas URL matches the official product inventory.
rel-veritas-52164-019fc4e7-d1e5-7d8a-b499-6faa3c9faef3,019fc4e7-d1e5-7d8a-b499-6faa3c9faef3,11,veritas,52164,https://veritaspub.com/product/radical-subjectivity-the-i-of-self-feb-2002/,Radical Subjectivity: The ‘I’ of Self (Feb 2002),primary_product_for_item_part,reviewed,2026-08-03,https://veritaspub.com/product/radical-subjectivity-the-i-of-self-feb-2002/,Master primary Veritas URL matches the official product inventory.
rel-veritas-52164-019fc4e7-d1e5-72d1-8a5b-1fdd5a2fb06b,019fc4e7-d1e5-72d1-8a5b-1fdd5a2fb06b,12,veritas,52164,https://veritaspub.com/product/radical-subjectivity-the-i-of-self-feb-2002/,Radical Subjectivity: The ‘I’ of Self (Feb 2002),primary_product_for_item_part,reviewed,2026-08-03,https://veritaspub.com/product/radical-subjectivity-the-i-of-self-feb-2002/,Master primary Veritas URL matches the official product inventory.
rel-veritas-50574-019fc4e7-d1e5-715c-90a6-a2c2dbaceb08,019fc4e7-d1e5-715c-90a6-a2c2dbaceb08,13,veritas,50574,https://veritaspub.com/product/2002-03-the-levels-of-consciousness-subjective-social-consequences-mar-2002/,The Levels of Consciousness: Subjective & Social Consequences (Mar 2002),primary_product_for_item_part,reviewed,2026-08-03,https://veritaspub.com/product/2002-03-the-levels-of-consciousness-subjective-social-consequences-mar-2002/,Master primary Veritas URL matches the official product inventory.
rel-veritas-50574-019fc4e7-d1e5-7ee5-8ac9-92efb0646e63,019fc4e7-d1e5-7ee5-8ac9-92efb0646e63,14,veritas,50574,https://veritaspub.com/product/2002-03-the-levels-of-consciousness-subjective-social-consequences-mar-2002/,The Levels of Consciousness: Subjective & Social Consequences (Mar 2002),primary_product_for_item_part,reviewed,2026-08-03,https://veritaspub.com/product/2002-03-the-levels-of-consciousness-subjective-social-consequences-mar-2002/,Master primary Veritas URL matches the official product inventory.
rel-veritas-50574-019fc4e7-d1e5-784b-89f6-11d0e7d5b50f,019fc4e7-d1e5-784b-89f6-11d0e7d5b50f,15,veritas,50574,https://veritaspub.com/product/2002-03-the-levels-of-consciousness-subjective-social-consequences-mar-2002/,The Levels of Consciousness: Subjective & Social Consequences (Mar 2002),primary_product_for_item_part,reviewed,2026-08-03,https://veritaspub.com/product/2002-03-the-levels-of-consciousness-subjective-social-consequences-mar-2002/,Master primary Veritas URL matches the official product inventory.
rel-veritas-50577-019fc4e7-d1e5-7628-bb88-182636bc2abe,019fc4e7-d1e5-7628-bb88-182636bc2abe,16,veritas,50577,https://veritaspub.com/product/2002-04-positionality-and-duality-transcending-the-opposites-apr-2002/,Positionality and Duality: Transcending the Opposites (Apr 2002),primary_product_for_item_part,reviewed,2026-08-03,https://veritaspub.com/product/2002-04-positionality-and-duality-transcending-the-opposites-apr-2002/,Master primary Veritas URL matches the official product inventory.
rel-veritas-50577-019fc4e7-d1e5-773d-a43a-b97abec50c3e,019fc4e7-d1e5-773d-a43a-b97abec50c3e,17,veritas,50577,https://veritaspub.com/product/2002-04-positionality-and-duality-transcending-the-opposites-apr-2002/,Positionality and Duality: Transcending the Opposites (Apr 2002),primary_product_for_item_part,reviewed,2026-08-03,https://veritaspub.com/product/2002-04-positionality-and-duality-transcending-the-opposites-apr-2002/,Master primary Veritas URL matches the official product inventory.
rel-veritas-50577-019fc4e7-d1e5-7f11-b6cc-738d6e31c05f,019fc4e7-d1e5-7f11-b6cc-738d6e31c05f,18,veritas,50577,https://veritaspub.com/product/2002-04-positionality-and-duality-transcending-the-opposites-apr-2002/,Positionality and Duality: Transcending the Opposites (Apr 2002),primary_product_for_item_part,reviewed,2026-08-03,https://veritaspub.com/product/2002-04-positionality-and-duality-transcending-the-opposites-apr-2002/,Master primary Veritas URL matches the official product inventory.
rel-veritas-50580-019fc4e7-d1e5-79f1-b678-3fadc9b98afc,019fc4e7-d1e5-79f1-b678-3fadc9b98afc,19,veritas,50580,https://veritaspub.com/product/2002-05-perception-and-illusion-distortions-of-reality-may-2002/,Perception and Illusion: Distortions of Reality (May 2002),primary_product_for_item_part,reviewed,2026-08-03,https://veritaspub.com/product/2002-05-perception-and-illusion-distortions-of-reality-may-2002/,Master primary Veritas URL matches the official product inventory.
rel-veritas-50580-019fc4e7-d1e5-7f01-a170-189b3d7207e2,019fc4e7-d1e5-7f01-a170-189b3d7207e2,20,veritas,50580,https://veritaspub.com/product/2002-05-perception-and-illusion-distortions-of-reality-may-2002/,Perception and Illusion: Distortions of Reality (May 2002),primary_product_for_item_part,reviewed,2026-08-03,https://veritaspub.com/product/2002-05-perception-and-illusion-distortions-of-reality-may-2002/,Master primary Veritas URL matches the official product inventory.
rel-veritas-50580-019fc4e7-d1e5-7514-bb1f-7953228a8a66,019fc4e7-d1e5-7514-bb1f-7953228a8a66,21,veritas,50580,https://veritaspub.com/product/2002-05-perception-and-illusion-distortions-of-reality-may-2002/,Perception and Illusion: Distortions of Reality (May 2002),primary_product_for_item_part,reviewed,2026-08-03,https://veritaspub.com/product/2002-05-perception-and-illusion-distortions-of-reality-may-2002/,Master primary Veritas URL matches the official product inventory.
rel-veritas-50583-019fc4e7-d1e5-7602-b1cb-86c601e52207,019fc4e7-d1e5-7602-b1cb-86c601e52207,22,veritas,50583,https://veritaspub.com/product/2002-06-realizing-the-root-of-consciousness-meditative-and-contemplative-techniques-jun-2002/,Realizing the Root of Consciousness: Meditative and Contemplative Techniques (Jun 2002),primary_product_for_item_part,reviewed,2026-08-03,https://veritaspub.com/product/2002-06-realizing-the-root-of-consciousness-meditative-and-contemplative-techniques-jun-2002/,Master primary Veritas URL matches the official product inventory.
rel-veritas-50583-019fc4e7-d1e5-73ac-94f7-65e6394ebac9,019fc4e7-d1e5-73ac-94f7-65e6394ebac9,23,veritas,50583,https://veritaspub.com/product/2002-06-realizing-the-root-of-consciousness-meditative-and-contemplative-techniques-jun-2002/,Realizing the Root of Consciousness: Meditative and Contemplative Techniques (Jun 2002),primary_product_for_item_part,reviewed,2026-08-03,https://veritaspub.com/product/2002-06-realizing-the-root-of-consciousness-meditative-and-contemplative-techniques-jun-2002/,Master primary Veritas URL matches the official product inventory.
rel-veritas-50583-019fc4e7-d1e5-77ad-8e0a-0cbc54635af8,019fc4e7-d1e5-77ad-8e0a-0cbc54635af8,24,veritas,50583,https://veritaspub.com/product/2002-06-realizing-the-root-of-consciousness-meditative-and-contemplative-techniques-jun-2002/,Realizing the Root of Consciousness: Meditative and Contemplative Techniques (Jun 2002),primary_product_for_item_part,reviewed,2026-08-03,https://veritaspub.com/product/2002-06-realizing-the-root-of-consciousness-meditative-and-contemplative-techniques-jun-2002/,Master primary Veritas URL matches the official product inventory.
rel-veritas-50586-019fc4e7-d1e5-7b3e-aa69-bf8c71eadb04,019fc4e7-d1e5-7b3e-aa69-bf8c71eadb04,25,veritas,50586,https://veritaspub.com/product/2002-07-the-nature-of-divinity-vs-religious-fallacy-jul-2002/,The Nature of Divinity vs Religious Fallacy (Jul 2002),primary_product_for_item_part,reviewed,2026-08-03,https://veritaspub.com/product/2002-07-the-nature-of-divinity-vs-religious-fallacy-jul-2002/,Master primary Veritas URL matches the official product inventory.
rel-veritas-50586-019fc4e7-d1e5-71d9-aaf5-dc42b9bce0e9,019fc4e7-d1e5-71d9-aaf5-dc42b9bce0e9,26,veritas,50586,https://veritaspub.com/product/2002-07-the-nature-of-divinity-vs-religious-fallacy-jul-2002/,The Nature of Divinity vs Religious Fallacy (Jul 2002),primary_product_for_item_part,reviewed,2026-08-03,https://veritaspub.com/product/2002-07-the-nature-of-divinity-vs-religious-fallacy-jul-2002/,Master primary Veritas URL matches the official product inventory.
rel-veritas-50586-019fc4e7-d1e5-731e-8234-b4463c5a0eb7,019fc4e7-d1e5-731e-8234-b4463c5a0eb7,27,veritas,50586,https://veritaspub.com/product/2002-07-the-nature-of-divinity-vs-religious-fallacy-jul-2002/,The Nature of Divinity vs Religious Fallacy (Jul 2002),primary_product_for_item_part,reviewed,2026-08-03,https://veritaspub.com/product/2002-07-the-nature-of-divinity-vs-religious-fallacy-jul-2002/,Master primary Veritas URL matches the official product inventory.
