raw_row_number,disposition,review_reason,raw_tempid,raw_title,raw_we_have,raw_original_source,raw_product_link
3,blank_separator,Empty visual separator row.,,,,,
4,source_context,Landing page or source URL stored in title.,,https://veritaspub.com/lecture-series-2002-2011/,,,
5,series_context,Annual lecture-series heading.,,Series 2002: The Way to God,,,
6,blank_separator,Empty visual separator row.,,,,,
43,blank_separator,Empty visual separator row.,,,,,
44,series_context,Annual lecture-series heading.,,Series 2003: Devotional Nonduality,,,
45,blank_separator,Empty visual separator row.,,,,,
64,blank_separator,Empty visual separator row.,,,,,
65,series_context,Annual lecture-series heading.,,Series 2004: Transcending the Mind,,,
84,series_context,Annual lecture-series heading.,,Series 2005: Nonduality Intensive,,,
115,series_context,Annual lecture-series heading.,,Series 2006: Transcending Levels of Consciousness,,,
140,series_context,Annual lecture-series heading.,,Series 2007: Spiritual Reality & Modern Man,,,
168,series_context,Annual lecture-series heading.,,Series 2008: Advanced Spiritual Awareness,,,
190,series_context,Annual lecture-series heading.,,Series 2009: In the World but Not of It,,,
203,series_context,Annual lecture-series heading.,,Series 2010: Practical Spirituality,,,
210,series_context,Annual lecture-series heading.,,Series 2011: Love & Spiritual Seeker Qualities,,,
217,blank_separator,Empty visual separator row.,,,,,
221,blank_separator,Empty visual separator row.,,,,,
222,series_context,Collection/category heading.,,VOLUME SERIES https://veritaspub.com/volume-series/,,,
236,blank_separator,Empty visual separator row.,,,,,
237,series_context,Collection/category heading.,,On The Road - Talk Series https://veritaspub.com/on-the-road-talk-series/,,,
238,research_note,Editorial gap/research note; item identity needs confirmation.,, ❌❌ MOST ARE MISSING ❌❌ NOT YET IN THE SPREADSHEET ❌❌,,,
249,duplicate,Duplicate of promoted master 311 (Devotion to Truth Talk); raw streaming row and promoted product row share Veritas product 55473. Owner ruling 2026-08-08: collapse to one DVD master (311) with streaming availability in reference_url_1; raw row excluded from master; UUID 225 retired.,,Devotion to Truth.mp4,✅,veritas,
250,duplicate,"Duplicate of promoted master 310 (Mind, Heart and Service Part 1); raw streaming PART1 row and promoted product row share Veritas product 54219. Owner ruling 2026-08-08: collapse to one DVD master (310) with streaming availability in reference_url_1; raw row excluded from master; UUID 226 retired.",,"Mind, Heart, and Service PART1.mp4",✅,veritas,
