veritas_product_id,official_title,matched_master_uuids,official_categories,dominant_category,dominance_rule,mapped_series,review_status,reviewed_on,review_notes,queue_reason
1542,Power vs. Force Audio Book,202,Media Miscellaneous,Media Miscellaneous,R7,Media Miscellaneous,needs_review,,,master ID(s) 202 receive conflicting series from multiple products
1560,Map of Consciousness®,247,Map of Consciousness ®,,R9,,needs_review,,,No recognized dominant category: Map of Consciousness ®
1568,Volume I: Power vs. Force Muscle Testing,202; 203,Volume Series,Volume Series,R7,Volume Series,needs_review,,,master ID(s) 202 receive conflicting series from multiple products
1661,“In the World But Not of It” – Audio,300,Media Miscellaneous,Media Miscellaneous,R7,Media Miscellaneous,needs_review,,,master ID(s) 300 receive conflicting series from multiple products
1695,Healing: Achieving Total Wellness Through Higher Levels of Consciousness – Audio,291,Media Miscellaneous,Media Miscellaneous,R7,Media Miscellaneous,needs_review,,,master ID(s) 291 receive conflicting series from multiple products
1728,Truth vs. Falsehood: The Art of Spiritual Discernment (CD & DVD set),289,Media Miscellaneous,Media Miscellaneous,R7,Media Miscellaneous,needs_review,,,master ID(s) 289 receive conflicting series from multiple products
50378,Healing and Recovery (Book),291,Books Published by Dr. Hawkins,Books Published by Dr. Hawkins,R7,Books,needs_review,,,master ID(s) 291 receive conflicting series from multiple products
50398,Truth vs. Falsehood: How to Tell the Difference (Book),289,Books Published by Dr. Hawkins,Books Published by Dr. Hawkins,R7,Books,needs_review,,,master ID(s) 289 receive conflicting series from multiple products
50411,Power vs. Force: The Hidden Determinants of Human Behavior book,202,Books Published by Dr. Hawkins,Books Published by Dr. Hawkins,R7,Books,needs_review,,,master ID(s) 202 receive conflicting series from multiple products
50491,How to Live Your Life Like A Prayer (2012),121,Discussion Series,Discussion Series,R7,Discussion Series,needs_review,,,master ID(s) 121 receive conflicting series from multiple products
50521,A Review of the Work (Sep 2007),142; 143; 144,Lecture Series 2002: The Way to God; Lecture Series 2007: Spiritual Reality & Modern Man,,R3,,needs_review,,,Multiple annual lecture-series categories: Lecture Series 2002: The Way to God; Lecture Series 2007: Spiritual Reality & Modern Man
50675,Live Your Life Like a Prayer (Nov 2006),121; 122; 123,Lecture Series 2006: Transcending Levels of Consciousness; Lectures Series,Lecture Series 2006: Transcending Levels of Consciousness,R3,Transcending Levels of Consciousness,needs_review,,,master ID(s) 121 receive conflicting series from multiple products
53062,In the World But Not Of It: Transforming Everyday Experience into a Spiritual Path,300,Books Published by Dr. Hawkins; Media Miscellaneous,Books Published by Dr. Hawkins,R7,Books,needs_review,,,master ID(s) 300 receive conflicting series from multiple products
