veritas_product_id,official_title,official_product_url,published_date,official_categories,normalized_title_match_count,matched_master_uuids,matched_master_titles,mapping_status,review_notes
56141,"The Final Doorway to Enlightenment: Prayer, Transcendence and Realization of the Self",https://veritaspub.com/product/the-final-doorway-to-enlightenment-prayer-transcendence-and-realization-of-the-self/,2026-01-13,,1,308,"The Final Doorway to Enlightenment: Prayer, Transcendence and Realization of the Self",matched_by_primary_source,Exact master primary Veritas URL match.
55582,Karma and Devotion: The Sacred Path to God through the Heart,https://veritaspub.com/product/karma-and-devotion-the-sacred-path-to-god-through-the-heart/,2025-10-01,,1,307,Karma and Devotion: The Sacred Path to God through the Heart,matched_by_primary_source,Exact master primary Veritas URL match.
55576,The Essence of Letting Go: A Living Transmission of Truth,https://veritaspub.com/product/the-essence-of-letting-go-a-living-transmission-of-truth/,2025-09-30,,0,,,compilation_or_new_edition,"Identified as a compilation, biography, or posthumous edition."
55473,Devotion to Truth Talk,https://veritaspub.com/product/devotion-to-truth-talk/,2025-07-15,,0,,,unique_item,Unique item not found in legacy spreadsheet.
55425,The Man Who Mapped Consciousness: Life and Legacy of Dr. David R. Hawkins,https://veritaspub.com/product/the-man-who-mapped-consciousness-life-and-legacy-of-dr-david-r-hawkins/,2025-07-02,,0,,,compilation_or_new_edition,"Identified as a compilation, biography, or posthumous edition."
55424,"Spiritual Power and Integrity: Uncovering Spiritual Reality and Realizing Peace, Love, and Divinity",https://veritaspub.com/product/spiritual-power-and-integrity-uncovering-spiritual-reality-and-realizing-peace-love-and-divinity/,2025-07-02,,1,306,"Spiritual Power and Integrity: Uncovering Spiritual Reality and Realizing Peace, Love, and Divinity",matched_by_primary_source,Exact master primary Veritas URL match.
55284,"Beyond Illusion: Exploring Perception, Ego, and Meditation on the Path to Truth; Transcriptions from May and June 2002 lectures",https://veritaspub.com/product/beyond-illusion-exploring-perception-ego-and-meditation-on-the-path-to-truth/,2025-04-08,,1,305,"Beyond Illusion: Exploring Perception, Ego, and Meditation on the Path to Truth",matched_by_primary_source,Exact master primary Veritas URL match.
54838,Power vs Force Card Deck: 44 Cards to Master Your Emotions and Embrace Your Inner Potential,https://veritaspub.com/product/power-vs-force-card-deck-44-cards-to-master-your-emotions-and-embrace-your-inner-potential/,2024-10-15,,0,,,excluded_related_material,"Spin-off physical product, not an original teaching record."
54489,The Evolution of Consciousness: Navigating the Levels of Awareness and Unlocking Spiritual Potential (Lectures March and April 2002 Transcription),https://veritaspub.com/product/the-evolution-of-consciousness-navigating-the-levels-of-awareness-and-unlocking-spiritual-potential-transcriptions-from-the-march-and-april-2002-lectures/,2024-10-15,,1,304,The Evolution of Consciousness: Navigating the Levels of Awareness and Unlocking Spiritual Potential,matched_by_primary_source,Exact master primary Veritas URL match.
54472,The Path to Spiritual Advancement: How to Transcend the Ego and Experience the Presence of God (Lectures Jan & Feb 2002 Transcription),https://veritaspub.com/product/the-path-to-spiritual-advancement-how-to-transcend-the-ego-and-experience-the-presence-of-god/,2024-07-02,,1,303,The Path to Spiritual Advancement: How to Transcend the Ego and Experience the Presence of God,matched_by_primary_source,Exact master primary Veritas URL match.
