uuid,title,item_type,series,year,month,raw_row_number,candidate_key,source_url_veritas,year_source_type,year_source_detail
1,Causality: The Ego's Foundation,lecture,The Way to God,2002,01,7,,https://veritaspub.com/product/2002-01-causality-the-egos-foundation-jan-2002/,ledger_user_input,ledger raw_row 7 proposed_year=2002 proposed_month=01
2,Causality: The Ego's Foundation,lecture,The Way to God,2002,01,8,,https://veritaspub.com/product/2002-01-causality-the-egos-foundation-jan-2002/,ledger_user_input,ledger raw_row 8 proposed_year=2002 proposed_month=01
3,Causality: The Ego's Foundation,lecture,The Way to God,2002,01,9,,https://veritaspub.com/product/2002-01-causality-the-egos-foundation-jan-2002/,ledger_user_input,ledger raw_row 9 proposed_year=2002 proposed_month=01
4,Radical Subjectivity: The 'I' of Self,lecture,The Way to God,2002,02,10,,https://veritaspub.com/product/radical-subjectivity-the-i-of-self-feb-2002/,ledger_user_input,ledger raw_row 10 proposed_year=2002 proposed_month=02
5,Radical Subjectivity: The 'I' of Self,lecture,The Way to God,2002,02,11,,https://veritaspub.com/product/radical-subjectivity-the-i-of-self-feb-2002/,ledger_user_input,ledger raw_row 11 proposed_year=2002 proposed_month=02
6,Radical Subjectivity: The 'I' of Self,lecture,The Way to God,2002,02,12,,https://veritaspub.com/product/radical-subjectivity-the-i-of-self-feb-2002/,ledger_user_input,ledger raw_row 12 proposed_year=2002 proposed_month=02
7,The Levels of Consciousness: Subjective & Social Consequences,lecture,The Way to God,2002,03,13,,https://veritaspub.com/product/2002-03-the-levels-of-consciousness-subjective-social-consequences-mar-2002/,ledger_user_input,ledger raw_row 13 proposed_year=2002 proposed_month=03
8,The Levels of Consciousness: Subjective & Social Consequences,lecture,The Way to God,2002,03,14,,https://veritaspub.com/product/2002-03-the-levels-of-consciousness-subjective-social-consequences-mar-2002/,ledger_user_input,ledger raw_row 14 proposed_year=2002 proposed_month=03
9,The Levels of Consciousness: Subjective & Social Consequences,lecture,The Way to God,2002,03,15,,https://veritaspub.com/product/2002-03-the-levels-of-consciousness-subjective-social-consequences-mar-2002/,ledger_user_input,ledger raw_row 15 proposed_year=2002 proposed_month=03
10,Positionality and Duality: Transcending the Opposites,lecture,The Way to God,2002,04,16,,https://veritaspub.com/product/2002-04-positionality-and-duality-transcending-the-opposites-apr-2002/,ledger_user_input,ledger raw_row 16 proposed_year=2002 proposed_month=04
11,Positionality and Duality: Transcending the Opposites,lecture,The Way to God,2002,04,17,,https://veritaspub.com/product/2002-04-positionality-and-duality-transcending-the-opposites-apr-2002/,ledger_user_input,ledger raw_row 17 proposed_year=2002 proposed_month=04
12,Positionality and Duality: Transcending the Opposites,lecture,The Way to God,2002,04,18,,https://veritaspub.com/product/2002-04-positionality-and-duality-transcending-the-opposites-apr-2002/,ledger_user_input,ledger raw_row 18 proposed_year=2002 proposed_month=04
13,Perception and Illusion: Distortions of Reality,lecture,The Way to God,2002,05,19,,https://veritaspub.com/product/2002-05-perception-and-illusion-distortions-of-reality-may-2002/,ledger_user_input,ledger raw_row 19 proposed_year=2002 proposed_month=05
14,Perception and Illusion: Distortions of Reality,lecture,The Way to God,2002,05,20,,https://veritaspub.com/product/2002-05-perception-and-illusion-distortions-of-reality-may-2002/,ledger_user_input,ledger raw_row 20 proposed_year=2002 proposed_month=05
15,Perception and Illusion: Distortions of Reality,lecture,The Way to God,2002,05,21,,https://veritaspub.com/product/2002-05-perception-and-illusion-distortions-of-reality-may-2002/,ledger_user_input,ledger raw_row 21 proposed_year=2002 proposed_month=05
16,Realizing the Root of Consciousness: Meditative and Contemplative Techniques,lecture,The Way to God,2002,06,22,,https://veritaspub.com/product/2002-06-realizing-the-root-of-consciousness-meditative-and-contemplative-techniques-jun-2002/,ledger_user_input,ledger raw_row 22 proposed_year=2002 proposed_month=06
17,Realizing the Root of Consciousness: Meditative and Contemplative Techniques,lecture,The Way to God,2002,06,23,,https://veritaspub.com/product/2002-06-realizing-the-root-of-consciousness-meditative-and-contemplative-techniques-jun-2002/,ledger_user_input,ledger raw_row 23 proposed_year=2002 proposed_month=06
18,Realizing the Root of Consciousness: Meditative and Contemplative Techniques,lecture,The Way to God,2002,06,24,,https://veritaspub.com/product/2002-06-realizing-the-root-of-consciousness-meditative-and-contemplative-techniques-jun-2002/,ledger_user_input,ledger raw_row 24 proposed_year=2002 proposed_month=06
