raw_row_number,legacy_tempid,proposed_canonical_title,raw_title,proposed_series,proposed_item_type,proposed_year,proposed_month,proposed_format,proposed_format_detail,proposed_owned,proposed_source_url_veritas,raw_product_link,link_review_status,approval,review_notes
7,LS200201_1,Causality: The Ego's Foundation,Causality: The Ego's Foundation (Jan 2002) DVD01,The Way to God,lecture,2002,01,DVD,DVD01,true,https://veritaspub.com/product/2002-01-causality-the-egos-foundation-jan-2002/,https://veritaspub.com/product/2002-01-causality-the-egos-foundation-jan-2002/,proposed_valid,,
8,LS200201_2,Causality: The Ego's Foundation,Causality: The Ego's Foundation (Jan 2002) DVD02,The Way to God,lecture,2002,01,DVD,DVD02,true,https://veritaspub.com/product/2002-01-causality-the-egos-foundation-jan-2002/,https://veritaspub.com/product/2002-01-causality-the-egos-foundation-jan-2002/,proposed_valid,,
9,LS200201_3,Causality: The Ego's Foundation,Causality: The Ego's Foundation (Jan 2002) DVD03,The Way to God,lecture,2002,01,DVD,DVD03,true,https://veritaspub.com/product/2002-01-causality-the-egos-foundation-jan-2002/,https://veritaspub.com/product/2002-01-causality-the-egos-foundation-jan-2002/,proposed_valid,,
10,LS200202_1,Radical Subjectivity: The 'I' of Self,Radical Subjectivity: The 'I' of Self (Feb 2002) DVD01,The Way to God,lecture,2002,02,DVD,DVD01,true,https://veritaspub.com/product/radical-subjectivity-the-i-of-self-feb-2002/,https://veritaspub.com/product/radical-subjectivity-the-i-of-self-feb-2002/,proposed_valid,,
11,LS200202_2,Radical Subjectivity: The 'I' of Self,Radical Subjectivity: The 'I' of Self (Feb 2002) DVD02,The Way to God,lecture,2002,02,DVD,DVD02,true,https://veritaspub.com/product/radical-subjectivity-the-i-of-self-feb-2002/,https://veritaspub.com/product/radical-subjectivity-the-i-of-self-feb-2002/,proposed_valid,,
12,LS200202_3,Radical Subjectivity: The 'I' of Self,Radical Subjectivity: The 'I' of Self (Feb 2002) DVD03,The Way to God,lecture,2002,02,DVD,DVD03,true,https://veritaspub.com/product/radical-subjectivity-the-i-of-self-feb-2002/,https://veritaspub.com/product/radical-subjectivity-the-i-of-self-feb-2002/,proposed_valid,,
13,LS200203_1,The Levels of Consciousness: Subjective & Social Consequences,The Levels of Consciousness: Subjective & Social Consequences (Mar 2002) DVD01,The Way to God,lecture,2002,03,DVD,DVD01,true,https://veritaspub.com/product/2002-03-the-levels-of-consciousness-subjective-social-consequences-mar-2002/,https://veritaspub.com/product/2002-03-the-levels-of-consciousness-subjective-social-consequences-mar-2002/,proposed_valid,,
14,LS200203_2,The Levels of Consciousness: Subjective & Social Consequences,The Levels of Consciousness: Subjective & Social Consequences (Mar 2002) DVD02,The Way to God,lecture,2002,03,DVD,DVD02,true,https://veritaspub.com/product/2002-03-the-levels-of-consciousness-subjective-social-consequences-mar-2002/,https://veritaspub.com/product/2002-03-the-levels-of-consciousness-subjective-social-consequences-mar-2002/,proposed_valid,,
15,LS200203_3,The Levels of Consciousness: Subjective & Social Consequences,The Levels of Consciousness: Subjective & Social Consequences (Mar 2002) DVD03,The Way to God,lecture,2002,03,DVD,DVD03,true,https://veritaspub.com/product/2002-03-the-levels-of-consciousness-subjective-social-consequences-mar-2002/,https://veritaspub.com/product/2002-03-the-levels-of-consciousness-subjective-social-consequences-mar-2002/,proposed_valid,,
16,LS200204_1,Positionality and Duality: Transcending the Opposites,Positionality and Duality: Transcending the Opposites (Apr 2002) DVD01,The Way to God,lecture,2002,04,DVD,DVD01,true,https://veritaspub.com/product/2002-04-positionality-and-duality-transcending-the-opposites-apr-2002/,https://veritaspub.com/product/2002-04-positionality-and-duality-transcending-the-opposites-apr-2002/,proposed_valid,,
