raw_row_number,disposition,review_reason,proposed_series,proposed_title,proposed_item_type,proposed_year,proposed_month,proposed_format,proposed_format_detail,proposed_owned,proposed_source_url_veritas,raw_uuid,raw_tempid,raw_title,raw_we_have,raw_original_source,raw_unnamed_5,raw_format,raw_product_link,raw_unnamed_8,raw_unnamed_9,raw_unnamed_10,raw_unnamed_11,raw_other_links
3,blank_separator,Empty visual separator row.,,,,,,,,,,,,,,,,,,,,,,
4,source_context,Landing page or source URL stored in title.,,,,,,,,,,,,https://veritaspub.com/lecture-series-2002-2011/,,,,,,,,,,
5,series_context,Annual lecture-series heading.,,,,,,,,,,,,Series 2002: The Way to God,,,,,,,,,,
6,blank_separator,Empty visual separator row.,,,,,,,,,,,,,,,,,,,,,,
7,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,Causality: The Ego's Foundation (Jan 2002) DVD01,lecture,2002,01,DVD,Part 1,True,https://veritaspub.com/product/2002-01-causality-the-egos-foundation-jan-2002/,,LS200201_1,Causality: The Ego's Foundation (Jan 2002) DVD01,✅,veritas,,,https://veritaspub.com/product/2002-01-causality-the-egos-foundation-jan-2002/,,,,,
8,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,Causality: The Ego's Foundation (Jan 2002) DVD02,lecture,2002,01,DVD,Part 2,True,https://veritaspub.com/product/2002-01-causality-the-egos-foundation-jan-2002/,,LS200201_2,Causality: The Ego's Foundation (Jan 2002) DVD02,✅,veritas,,,https://veritaspub.com/product/2002-01-causality-the-egos-foundation-jan-2002/,,,,,
9,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,Causality: The Ego's Foundation (Jan 2002) DVD03,lecture,2002,01,DVD,Part 3,True,https://veritaspub.com/product/2002-01-causality-the-egos-foundation-jan-2002/,,LS200201_3,Causality: The Ego's Foundation (Jan 2002) DVD03,✅,veritas,,,https://veritaspub.com/product/2002-01-causality-the-egos-foundation-jan-2002/,,,,,
10,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,Radical Subjectivity: The 'I' of Self (Feb 2002) DVD01,lecture,2002,02,DVD,Part 1,True,https://veritaspub.com/product/radical-subjectivity-the-i-of-self-feb-2002/,,LS200202_1,Radical Subjectivity: The 'I' of Self (Feb 2002) DVD01,✅,veritas,,,https://veritaspub.com/product/radical-subjectivity-the-i-of-self-feb-2002/,,,,,
11,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,Radical Subjectivity: The 'I' of Self (Feb 2002) DVD02,lecture,2002,02,DVD,Part 2,True,https://veritaspub.com/product/radical-subjectivity-the-i-of-self-feb-2002/,,LS200202_2,Radical Subjectivity: The 'I' of Self (Feb 2002) DVD02,✅,veritas,,,https://veritaspub.com/product/radical-subjectivity-the-i-of-self-feb-2002/,,,,,
12,item,Item candidate indicated by ownership status and/or legacy tempid.,The Way to God,Radical Subjectivity: The 'I' of Self (Feb 2002) DVD03,lecture,2002,02,DVD,Part 3,True,https://veritaspub.com/product/radical-subjectivity-the-i-of-self-feb-2002/,,LS200202_3,Radical Subjectivity: The 'I' of Self (Feb 2002) DVD03,✅,veritas,,,https://veritaspub.com/product/radical-subjectivity-the-i-of-self-feb-2002/,,,,,
